species_code,site_code,id,x,y,genus,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,bio28,bio29,bio30,bio31,bio32,bio33,bio34,bio35,min.minT,max.maxT,aet,pet,aet.pet.ratio,not.hot.precip
PCGL,AK006,4397,-149.58,63.67,Picea,glauca,-4.457706928,9.885852814,0.244417995,0.040857591,17.23999977,-23.2064991,40.44649887,9.608782768,-7.106013775,9.820198059,-17.71499062,460,18.9489994,3.568470001,0.574605584,217.9317932,56.32992172,208.216507,69.41277313,73.19522858,151.8630066,3.533329964,0.728061616,120.9161987,97.6207962,131.5106049,13.20005035,0.756267726,0.966440022,0.457922012,0.211434096,0.944118083,0.527985096,0.65524888,0.817206621,-234,174,20.80946178,480,0.043353045,251.783493
PCGL,AK007,4425,-149.58,61.33,Picea,glauca,0.493127793,8.485061646,0.270693898,0.029567741,17.03230095,-14.31330013,31.34560013,8.264053345,-0.477136612,11.05303001,-9.334231377,543,18.08460045,5.295400143,0.373773187,210.4324036,77.64292145,174.6575012,117.9962997,79.4872818,153.9819946,7.657999992,0.675547123,96.37844086,110.1664963,136.1177979,17.74402046,0.842398286,1.054327965,0.493411988,0.233760104,1.028118014,0.548321605,0.608311415,1.005347013,-145,172,16.37435622,527,0.031070885,368.3424988
PCSI,AK008,4537,-149.5,60.5,Picea,sitchensis,0.1234769,7.677505016,0.280332893,0.025149871,15.34519958,-12.04189968,27.38710022,3.113598108,1.413794994,9.41310215,-7.864665985,824.0004272,27.01600075,8.189220428,0.362107009,310.4143982,118.4815979,208.9447937,210.7375031,78.86226654,149.5019989,8.966670036,0.649192393,64.78299713,129.1009064,126.6696014,22.56706047,0.98242873,1.170407057,0.673168004,0.1604269,1.134868979,0.738698781,0.806539297,1.078498006,-121,155,17.16399741,423,0.040576826,615.0556335
PCGL,AK009,4657,-143.92,62.83,Picea,glauca,-4.038245201,12.18295002,0.270491689,0.043531761,19.57999992,-25.45999908,45.04000092,10.62985992,-10.26451969,10.63916016,-19.00251961,353.9999084,14.7361002,2.847700119,0.549628317,163.4223022,44.21350098,162.3692017,55.83914948,81.25498199,167.3970032,5.598670006,0.706990719,142.0498962,74.9025116,146.7843018,13.2914896,0.51635468,0.58870697,0.383670002,0.1184332,0.57985878,0.427102089,0.487172186,0.573719621,-257,198,17.45536023,493,0.03540641,191.6307068
PCGL,AK010,4409,-147.33,61.83,Picea,glauca,-5.911955833,10.66646004,0.284380496,0.03581157,14.2677002,-23.23999977,37.50770187,6.500245094,-8.543157578,6.571585178,-17.52518082,482.9999084,16.29560089,4.756720066,0.379044503,190.1703949,74.02497101,189.4279022,95.45745087,74.73552704,146.8059998,6.666669846,0.663195729,117.7473984,99.69828033,122.4347992,14.96444035,0.846367717,0.972588003,0.629630029,0.1296435,0.959716618,0.685465872,0.7524786,0.954908073,-234,145,18.05499131,473,0.038171229,293.5720062
PCGL,AK011,4538,-145.25,61.33,Picea,glauca,-3.62311697,11.05080032,0.292096496,0.035046291,16.11940002,-21.7133007,37.83269882,6.354710102,-4.314383984,8.388291359,-15.54102039,686.0001221,18.82710075,7.065740108,0.289639711,235.5995941,107.919899,221.1999054,155.0424957,81.78344727,159.8710022,7.666669846,0.666563928,107.6222,113.2261963,138.4501953,16.17535019,0.940085471,1.068694949,0.731424987,0.129469395,1.061087012,0.760973573,0.800136626,1.038692951,-219,163,14.90633686,539,0.027655541,464.8002167
PCGL,AK012,4564,-141.33,62.83,Picea,glauca,-5.798777103,12.75030994,0.239561796,0.054565601,20.22999954,-32.99349976,53.2234993,11.80434036,-17.15756989,11.80434036,-25.09572029,321.9999084,16.8696003,1.836140037,0.760060728,176.2472992,28.40835953,176.2472992,33.33927917,87.34272003,181.5480042,5.599999905,0.719457209,161.4947968,59.36349869,161.4947968,13.50496006,0.46017471,0.563663006,0.346406996,0.132960394,0.533084989,0.375401109,0.519638896,0.450674295,-334,204,16.19919704,545,0.029723297,145.7526093
PCGL,AK013,4735,-148.17,64.83,Picea,glauca,-3.300837994,11.07524014,0.228182703,0.050748371,21.70999908,-26.82670021,48.5367012,13.28164005,-11.04584026,13.74180984,-20.78705025,301.9999084,12.80809975,1.880489945,0.612952828,148.052597,31.13549042,144.4915009,44.63211823,77.9724884,171.5480042,2.466670036,0.770346582,136.4297028,70.08318329,148.3181,11.54479027,0.452697307,0.529781997,0.317364007,0.154115707,0.521745384,0.349119097,0.42225939,0.499368101,-270,218,17.39780813,543,0.032040162,157.5084076
PCSI,AK014,3480,-152.7,58.05,Picea,sitchensis,3.602823019,6.494169235,0.307451189,0.018963359,15.52260017,-5.599999905,21.12260056,3.719799995,9.565785408,10.87036991,-2.350680113,1486,35.91970062,19.98270035,0.170733601,438.1600952,311.7904968,338.9219055,408.5768127,89.64456177,165.2700043,14.87069988,0.606163085,54.41481018,157.6130066,137.9375,29.57592964,1.175711989,1.266003966,1.042956948,0.055660281,1.244832993,1.093793035,1.115242004,1.229642034,-56,156,23.76841727,432,0.055019484,1147.078094
TSME,AK015,5240,-148.97,60.08,Tsuga,mertensiana,0.885613799,6.604031086,0.287494391,0.021108599,14.00969982,-8.961290359,22.97098923,1.71014297,5.733921051,8.868683815,-5.63421011,1273,40.41619873,13.45189953,0.333864897,458.5389099,194.7613983,263.5780945,338.9732056,79.86686707,150.397995,9.576669693,0.642650127,52.10852051,145.4512024,127.9871979,27.50175095,1.131288052,1.313128948,0.933510005,0.095821276,1.259598017,0.984686017,1.031779051,1.177906036,-90,141,28.16156199,380,0.074109374,1009.421906
